,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,,,,300000.000,300000.000,,-300000.000,-7300000.000,-1400000.000,-1900000.000,4200000.000,3500000.000,600000.000,5400000.000,4500000.000,-15400000.000,-12400000.000,900000.000,12500000.000,11100000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,-59800000.000,13600000.000,,18800000.000,29800000.000,-16900000.000,-47200000.000,12500000.000,-25100000.000,-15800000.000,8300000.000,24000000.000,24900000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,-100000.000,,,,100000.000,,,,0.000,,,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,-5400000.000,30200000.000,,13900000.000,-60500000.000,6900000.000,36300000.000,8300000.000,25300000.000,-18200000.000,-24500000.000,9300000.000,-27600000.000,-22000000.000,6200000.000,23800000.000,21300000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,15700000.000,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,,,,-900000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,600000.000,-800000.000,,900000.000,900000.000,-900000.000,-37000000.000,-200000.000,800000.000,-300000.000,34200000.000,-1000000.000,-1000000.000,-900000.000,-4500000.000,-600000.000,-700000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,,,,,,,,-500000.000,-500000.000,-600000.000,,-400000.000,-200000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,,,,-6700000.000,-7000000.000,,-6700000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,,,,,,6700000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,,,,,,,,-1500000.000,7500000.000,,10700000.000,5300000.000,1600000.000,3100000.000,4200000.000,5400000.000,10800000.000,4300000.000,1300000.000,6500000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetTransitionAssetObligationBeforeTax,,,,,,,,100000.000,1300000.000,,1400000.000,1400000.000,1300000.000,,1400000.000,1400000.000,1300000.000,,1400000.000,1400000.000
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,,,7100000.000,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlanNetTransitionAssetObligationRecognizedInNetPeriodicBenefitCostBeforeTax,,,100000.000,,100000.000,,-100000.000,,,,,,,,,,,,,
