,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
IncreaseDecreaseInRestrictedCash,-6000000.000,,,,-13000000.000,,,,,,,,-11000000.000,,,,-34000000.000,,,,,,,,,
InterestAndDebtExpense,121000000.000,119000000.000,118000000.000,123000000.000,122000000.000,121000000.000,123000000.000,122000000.000,122000000.000,122000000.000,119000000.000,118000000.000,121000000.000,,,,,,,,,,,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,,-115000000.000,-116000000.000,,-104000000.000,-95000000.000,-95000000.000,-91000000.000,-95000000.000,,,,,
InterestIncomeExpenseNonoperatingNet,,,,,,,,,,,-119000000.000,,-121000000.000,,,,,,,,,-93000000.000,-94000000.000,,-92000000.000,-90000000.000
InvestmentIncomeInterest,,,1000000.000,,1000000.000,1000000.000,2000000.000,0.000,1000000.000,1000000.000,,,,,,,,,,,,,,,,
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,-7000000.000,,,,-9000000.000,,,,8000000.000,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-3000000.000,,,,-42000000.000,,,,-41000000.000,,,,-179000000.000,,,,-898000000.000,,,,206000000.000,,,,-383000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-3000000.000,,,,-42000000.000,,,,-41000000.000,,,,-179000000.000,,,,-898000000.000,,,,206000000.000,,,,-383000000.000,
NetCashProvidedByUsedInInvestingActivities,-462000000.000,,,,-503000000.000,,,,-421000000.000,,,,-122000000.000,,,,-628000000.000,,,,-847000000.000,,,,-340000000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-462000000.000,,,,-503000000.000,,,,-421000000.000,,,,-122000000.000,,,,-628000000.000,,,,-847000000.000,,,,-340000000.000,
NetCashProvidedByUsedInOperatingActivities,600000000.000,,,,475000000.000,,,,577000000.000,,,,584000000.000,,,,499000000.000,,,,706000000.000,,,,721000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,600000000.000,,,,475000000.000,,,,577000000.000,,,,584000000.000,,,,499000000.000,,,,706000000.000,,,,721000000.000,
NetIncomeLoss,186000000.000,237000000.000,272000000.000,266000000.000,171000000.000,208000000.000,214000000.000,224000000.000,168000000.000,244000000.000,291000000.000,-605000000.000,228000000.000,210000000.000,,,,,,,,287000000.000,302000000.000,,298000000.000,362000000.000
NetIncomeLossAttributableToNoncontrollingInterest,10000000.000,13000000.000,13000000.000,12000000.000,12000000.000,11000000.000,9000000.000,11000000.000,8000000.000,12000000.000,6000000.000,6000000.000,9000000.000,12000000.000,11000000.000,8000000.000,-2000000.000,-1000000.000,2000000.000,0.000,-2000000.000,-1000000.000,2000000.000,-1000000.000,-1000000.000,-1000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,,,,,,210000000.000,270000000.000,,-129000000.000,274000000.000,335000000.000,273000000.000,258000000.000,,,,,
