SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1003410,,363070000.000,361263000.000,,272400000.000,268615000.000,302889000.000,265536000.000,268668000.000,275458000.000,291690000.000,245974000.000,293170000.000,303030000.000,291061000.000,277443000.000,267435000.000,225897000.000,234537000.000,221563000.000,224954000.000,226564000.000,226199000.000,224527000.000,227314000.000,
1108236,,,,,,,,,,,,,,,,,,,,,,,,,,
1478726,,,,,,,,,,,,,,,,,,,,,,,,,,
1109357,5052000000.000,4587000000.000,5295000000.000,3990000000.000,4686000000.000,5954000000.000,6565000000.000,6284000000.000,6082000000.000,6141000000.000,6502000000.000,6163000000.000,7237000000.000,6024000000.000,6912000000.000,7256000000.000,8830000000.000,6514000000.000,7401000000.000,6702000000.000,7573000000.000,6910000000.000,9002000000.000,7875000000.000,8757000000.000,
920760,558045000.000,764493000.000,820193000.000,,724856000.000,930155000.000,1099758000.000,,989946000.000,1426124000.000,1916953000.000,,1363095000.000,1818745000.000,2014034000.000,,1644139000.000,2392604000.000,2491698000.000,,1993664000.000,,,,,
1001385,,143801000.000,139265000.000,,142175000.000,131041000.000,115099000.000,136188000.000,140597000.000,116738000.000,103022000.000,115199000.000,82647000.000,101988000.000,116505000.000,102158000.000,84865000.000,53846000.000,52335000.000,45562000.000,33928000.000,42061000.000,41088000.000,39179000.000,29666000.000,
1620928,,,,,,,,,,,,,,,,,16171000.000,19729000.000,20144000.000,58421000.000,54543000.000,46547000.000,41067000.000,59466000.000,62761000.000,
1476278,,,,,120.000,,0.000,,1950000.000,0.000,-38381.000,144688.000,29143.000,,0.000,,,,,,,,,,,
4447,10515000000.000,9806000000.000,8726000000.000,8824000000.000,9747000000.000,9309000000.000,9619000000.000,9698000000.000,4117000000.000,4105000000.000,2698000000.000,13501000000.000,5506000000.000,3600000000.000,2802000000.000,-469000000.000,1550000000.000,1935000000.000,1689000000.000,1387000000.000,993000000.000,1269000000.000,1196000000.000,1386000000.000,1275000000.000,
313927,,,,,,,,,,,,,,,,,,,,,,,,,,
