SEC ID,2010,2011,2012,2013,2014,2015,2016
1159154,,-105600000.000,212900000.000,191000000.000,185500000.000,84800000.000,
1084717,,,,,,,
1639068,,,,,,,
1618798,,,,,,,
1388311,,17677000.000,24143000.000,,,,
1069799,,,-71516.000,-254143.000,-978093.000,,
1261694,,-11958000.000,-40861000.000,-134889000.000,165696000.000,162202000.000,
1655075,,,,,,,18900000.000
1543083,,,,,,,
1446371,,-8993000.000,-17863000.000,-9899000.000,-7252000.000,-3218000.000,-1822000.000
1422841,,,,,,,-12195000.000
1567865,,,,,,,
1548082,,,,-1621465.000,-7266987.000,,
1083743,,,-5264000.000,-3721000.000,-2839000.000,-4110000.000,
916529,,3055063.000,-860536.000,3539615.000,3505727.000,-607778.000,214277.000
718413,,,,,,,
1585608,,,,,,-12445369.000,-13585985.000
1140028,,-18508846.000,-20799534.000,,,,
1373670,,-235000.000,-40489000.000,-9743000.000,,33141000.000,47746000.000
1020710,,,,,,-27916000.000,19332000.000
1164727,,,,,,,
84839,,,,,,,
1442634,,-2674385.000,,,,,
821899,,145622.000,-165996.000,,,,
1084899,,-172131.000,-518446.000,,,,
785968,,-25085000.000,-32349000.000,-10693000.000,,,
1369786,,-21673000.000,-15493000.000,31380000.000,19044000.000,-44521000.000,
931948,,155206000.000,43636000.000,-396623000.000,98168000.000,-19694000.000,24091000.000
1351285,,-28407000.000,-6030000.000,-18442000.000,-78850000.000,-43813000.000,-26920000.000
1444397,,,,,,,
1664127,,,,,,,-133395.000
1528930,,,30836000.000,34821000.000,15392000.000,32488000.000,23321000.000
1420034,,,,,,,
719955,,381732000.000,409163000.000,452098000.000,502265000.000,488634000.000,472599000.000
1067983,,17184000000.000,20079000000.000,,,,
1060523,,,,,,,
922864,,166287000.000,200160000.000,249019000.000,262350000.000,256215000.000,246796000.000
1385662,,7695000.000,2837000.000,480000.000,1491000.000,-1083000.000,-596000.000
1594204,,,,,,-2602144.000,-115373.000
1496139,,-71272.000,-331058.000,94582.000,-59156.000,,
1573166,,,,55752000.000,107005000.000,-106470000.000,-104266000.000
1580262,,,,,,,
1494904,,,,,,,
1424151,,,,,,,
1057758,,186563000.000,226987000.000,204921000.000,,,
34115,,192338000.000,236168000.000,171772000.000,11460000.000,-14561000.000,-63718000.000
72573,,33563000.000,49346000.000,67742000.000,71487000.000,70107000.000,53981000.000
1142596,,,,,,,
97476,,2992000000.000,1973000000.000,2832000000.000,3947000000.000,4274000000.000,4799000000.000
1498522,,,,-756765.000,,,
1587755,,,,17319000.000,36422000.000,78663000.000,
910832,,8079646.000,,,,,
1415598,,,,,,,
1041514,37428000.000,61150000.000,23162000.000,101798000.000,128519000.000,114368000.000,
1554859,,,,,-4341000.000,-8419000.000,-2159000.000
1510333,,,-38845.000,,-33269.000,-43906.000,
1412130,,,,,,,
1587063,,,,,,-105908.000,
792987,,57527000.000,50096000.000,55681000.000,51697000.000,49987000.000,87155000.000
1569994,,,,,,,
1545391,,,,,26077000.000,,
824142,,22169000.000,44234000.000,55825000.000,68006000.000,71302000.000,79594000.000
